word,class,level,meaning,full_sentence,category
concession,noun,c1,"sự nhượng bộ, sự giảm giá",The company made a concession to the striking workers by increasing their wages.,Professions
conclude,verb,b1,"kết luận, kết thúc","After a long discussion, the committee decided to conclude the meeting.",General
conclusion,noun,b1,"sự kết luận, phần kết luận",The report's conclusion highlighted the need for further research.,General
concrete,adjective,b2,"cụ thể, hữu hình",We need concrete evidence to support these claims.,Politics & Law
concrete,noun,b2,bê tông,The new bridge was built using reinforced concrete.,General
condemn,verb,c1,"lên án, chỉ trích mạnh mẽ",The international community condemned the recent acts of violence.,Politics & Law
condition,noun,a2,"điều kiện, tình trạng",The car is in excellent condition despite its age.,General
conduct,noun,b2,"cách cư xử, hạnh kiểm",His professional conduct during the meeting was exemplary.,People
conduct,verb,b2,"tiến hành, thực hiện; chỉ huy; dẫn (điện, nhiệt)",The scientists will conduct a series of experiments to test the hypothesis.,Science
confer,verb,c1,"trao tặng (danh hiệu, quyền); hội ý, bàn bạc",The university will confer an honorary degree upon the distinguished scholar.,General
conference,noun,a2,"hội nghị, cuộc họp",The annual sales conference will be held in New York next month.,Professions
confess,verb,b2,"thú nhận, thú tội",He decided to confess his feelings for her after months of hesitation.,Emotions
confession,noun,c1,"lời thú tội, sự thú nhận",Her confession brought a sense of relief to everyone involved.,Politics & Law
confidence,noun,b2,"sự tự tin, lòng tin",She spoke with great confidence about her plans for the future.,Emotions
confident,adjective,b1,tự tin,He felt confident that he would pass the exam.,Feelings & States
configuration,noun,c1,"Cấu hình, sự sắp đặt các bộ phận.",The network administrator adjusted the server's configuration for better performance.,Technology
confine,verb,c1,"Giam giữ, hạn chế, giam hãm.",The doctor advised her to confine herself to bed for a few days.,Health
confirm,verb,b1,"Xác nhận, chứng thực.",Please confirm your attendance by replying to this email.,Communication
confirmation,noun,c1,"Sự xác nhận, sự chứng thực.",We are waiting for confirmation of our flight details.,Travel
conflict,noun,b2,"Xung đột, mâu thuẫn.",There was a conflict of interest between the two parties.,Society & Community
conflict,verb,b2,"xung đột, mâu thuẫn",His actions often conflict with his stated beliefs.,Family
confront,verb,c1,"đối mặt, đương đầu",She decided to confront her fear of public speaking.,Emotions
confrontation,noun,c1,"sự đối đầu, sự đương đầu",The confrontation between the two leaders was tense.,Politics & Law
confuse,verb,b1,"làm bối rối, làm lẫn lộn",The complicated instructions confused the new employee.,Professions
confused,adjective,b1,"bối rối, lúng túng, hoang mang",He looked confused when he heard the unexpected news.,Emotions
confusing,adjective,b2,"gây bối rối, khó hiểu",The instructions for assembling the furniture were very confusing.,Daily Life
confusion,noun,b2,"sự bối rối, sự lộn xộn",There was a lot of confusion about the new schedule.,Emotions
congratulate,verb,c1,chúc mừng,I want to congratulate you on your excellent exam results.,Communication
congregation,noun,c1,"giáo đoàn, hội chúng (người tập hợp lại vì mục đích tôn giáo)",The entire congregation stood up to sing the hymn.,General
congressional,adjective,c1,thuộc về quốc hội,The committee held a congressional hearing on the new bill.,Politics & Law
connect,verb,a2,"kết nối, nối liền",Please connect the printer to the computer.,Technology
connected,adjective,a2,"được kết nối, có liên quan",All the devices in the smart home are connected to a central hub.,Technology
connection,noun,b1,"sự kết nối, mối liên hệ",We lost our internet connection during the storm.,Computing & Internet
conquer,verb,c1,"chinh phục, đánh bại",The explorer aimed to conquer the highest peak in the mountain range.,General
conscience,noun,c1,lương tâm,His conscience bothered him after he told a lie.,General
conscious,adjective,b2,"có ý thức, tỉnh táo",She became conscious again after the anesthetic wore off.,Health
consciousness,noun,c1,"ý thức, sự tỉnh táo",The patient slowly regained consciousness after the surgery.,Health
consecutive,adjective,c1,"liên tiếp, kế tiếp","The team won five consecutive games, a new record for the club.",Sports
consensus,noun,c1,"sự đồng thuận, sự nhất trí","After a long discussion, the committee reached a consensus on the new policy.",Politics & Law
consent,noun,c1,"sự đồng ý, sự cho phép",You must obtain written consent from parents before taking children on a field trip.,Politics & Law
consent,verb,c1,"đồng ý, chấp thuận",My parents finally consented to let me go on the school trip.,People
consequence,noun,b1,"hậu quả, kết quả",The long-term consequences of climate change are a serious concern.,Environment
consequently,adverb,b2,"do đó, vì vậy, hậu quả là","She didn't study for the exam; consequently, she failed.",General
conservation,noun,b2,"sự bảo tồn, sự giữ gìn",Wildlife conservation efforts are crucial for protecting endangered species.,Environment
conservative,adjective,b2,"bảo thủ, thận trọng",My grandfather has very conservative views on social issues.,Politics & Law
conservative,noun,b2,"người bảo thủ, người theo chủ nghĩa bảo thủ",A conservative often prefers traditional values and institutions.,Politics & Law
conserve,verb,c1,"bảo tồn, giữ gìn, tiết kiệm",We must conserve water during the drought.,Environment
consider,verb,a2,"xem xét, cân nhắc, suy nghĩ",Please consider all options before making a decision.,Emotions
considerable,adjective,b2,"đáng kể, to lớn, quan trọng",The project required a considerable amount of time and effort.,General
considerably,adverb,b2,"đáng kể, nhiều",Her health has improved considerably since she started the new treatment.,Health
consideration,noun,b2,"sự cân nhắc, sự xem xét","After much consideration, she decided to accept the job offer.",General
consist,verb,b1,"bao gồm, gồm có","The team consists of five members, each with a different role.",General
consistency,noun,c1,"sự nhất quán, tính kiên định",Consistency in effort is key to achieving long-term goals.,General
consistent,adjective,b2,"nhất quán, kiên định, phù hợp",Her performance has been consistent throughout the season.,General
consistently,adverb,b2,"một cách nhất quán, kiên định",He consistently arrives early for meetings.,General
consolidate,verb,c1,"củng cố, hợp nhất",The company decided to consolidate its two smaller offices into one larger headquarters.,Professions
conspiracy,noun,b2,âm mưu,The police uncovered a conspiracy to defraud the government.,General
constant,adjective,b2,"không đổi, liên tục",The constant noise from the construction site was very annoying.,General
constantly,adverb,b2,"liên tục, không ngừng",She is constantly checking her phone for new messages.,Daily Life
constituency,noun,c1,khu vực bầu cử; cử tri,The politician worked hard to represent the interests of his constituency.,Politics & Law
constitute,verb,c1,"cấu thành, tạo thành, thiết lập",Several factors constitute a healthy lifestyle.,General
constitution,noun,c1,"hiến pháp; thể trạng, cơ địa",The country's constitution guarantees freedom of speech.,Government & Politics
constitutional,adjective,c1,thuộc hiến pháp; thuộc thể trạng,The court ruled that the new law was not constitutional.,Politics & Law
constraint,noun,c1,"sự hạn chế, sự ràng buộc, sự ép buộc",Financial constraints prevented the company from expanding.,Professions
construct,verb,b2,"xây dựng, kiến tạo",Workers are busy constructing a new bridge over the river.,General
construction,noun,b2,"sự xây dựng, công trình xây dựng",The new bridge is currently under construction and is expected to be completed next year.,General
consult,verb,b2,"hỏi ý kiến, tham khảo",You should consult a doctor if your symptoms persist for more than a few days.,Health
consultant,noun,b2,"người tư vấn, chuyên gia tư vấn",The company hired an IT consultant to help improve their network security.,Professions
consultation,noun,c1,"sự tham vấn, buổi tư vấn",The patient had a consultation with the specialist to discuss treatment options.,Health
consume,verb,b1,"tiêu thụ, ăn uống",Humans consume a large amount of natural resources every year.,Environment
consumer,noun,b1,người tiêu dùng,The new marketing campaign aims to attract young consumers.,Professions
consumption,noun,b2,"sự tiêu thụ, sự tiêu dùng",Energy consumption has increased significantly in urban areas.,Economics & Trade
contact,noun,b1,"sự liên lạc, sự tiếp xúc",Please keep in contact while you are abroad.,Communication
contact,verb,b1,"liên lạc, tiếp xúc",You can contact me by email if you have any questions.,Communication
contain,verb,a2,"chứa đựng, bao gồm",This box contains all the documents you requested.,General
container,noun,b1,"vật chứa, hộp đựng, công-ten-nơ",Please put all the leftovers in an airtight container.,Objects & Tools
contemplate,verb,c1,"suy ngẫm, trầm tư, cân nhắc","She sat by the window, contemplating the meaning of life.",General
contemporary,adjective,b2,"đương đại, hiện đại, cùng thời",The museum features a collection of contemporary art from the 21st century.,Arts & Music
contempt,noun,c1,"sự khinh thường, sự coi thường",He felt nothing but contempt for his former boss.,Emotions
contend,verb,c1,"đấu tranh, tranh giành; cho rằng, khẳng định",The lawyers will contend that their client is innocent.,Politics & Law
contender,noun,c1,"Người tranh đấu, đối thủ cạnh tranh.",She is a strong contender for the championship title this year.,Sports
content,adjective,c1,"Hài lòng, mãn nguyện.",He felt content with his life after achieving all his goals.,Feelings & States
content,noun,b1,"Nội dung (của một cuốn sách, bài viết, trang web, v.v.).",The website offers a wide range of educational content for students.,General
contention,noun,c1,"Sự tranh cãi, sự bất đồng; luận điểm.",The main point of contention was the budget allocation for the new project.,Professions
contest,noun,b2,"Cuộc thi, cuộc tranh tài.",She won the singing contest with her powerful performance.,Arts & Music
contest,verb,b2,"tranh giành, phản đối (một quyết định, kết quả)",The losing candidate decided to contest the election results.,Politics & Law
context,noun,a2,"ngữ cảnh, bối cảnh",It's important to understand the historical context of the event.,Time
continent,noun,a2,"lục địa, châu lục",Asia is the largest continent in the world.,Environment
continually,adverb,c1,"liên tục, không ngừng (thường xuyên lặp đi lặp lại)","The baby continually cried throughout the night, making it hard to sleep.",Daily Life
continue,verb,a2,"tiếp tục, duy trì",Please continue with your work after the short break.,Professions
continuous,adjective,b1,"liên tục, không ngừng",The continuous rain made it difficult to see the road.,Environment
contract,noun,b2,hợp đồng,They signed a new contract for the construction project.,Business & Management
contract,verb,b2,"co lại, rút lại; mắc phải (bệnh)",Muscles contract and relax to allow movement.,Science
contractor,noun,c1,nhà thầu,The building contractor is responsible for overseeing the entire project.,General
contradiction,noun,c1,"sự mâu thuẫn, sự trái ngược",There was a clear contradiction between his two statements.,Grammar
contrary,adjective,c1,"trái ngược, đối lập","Despite the evidence, he held a contrary opinion.",General
contrary,noun,c1,"điều trái ngược, mặt đối lập","On the contrary, I think it's a brilliant idea.",General
contrast,noun,b1,"sự tương phản, sự khác biệt rõ rệt",The contrast between their lifestyles was striking.,General
contrast,verb,b1,"tương phản, đối chiếu",She contrasted the city life with the quiet of the countryside.,General
contribute,verb,b2,"đóng góp, góp phần",Everyone was asked to contribute ideas to the project.,General
contribution,noun,b2,"sự đóng góp, phần đóng góp",Her significant contribution to the project was recognized with an award.,Professions
contributor,noun,c1,"người đóng góp, người cộng tác",He is a regular contributor to several scientific journals.,Media & Journalism
control,noun,a2,"sự kiểm soát, quyền kiểm soát",The remote control allows you to change channels from a distance.,Technology
control,verb,a2,"kiểm soát, điều khiển",It's important to control your emotions in difficult situations.,Emotions
controversial,adjective,b2,"gây tranh cãi, có tính tranh cãi",The government's new policy proved to be highly controversial.,Politics & Law
controversy,noun,b2,"sự tranh cãi, cuộc tranh luận",The new policy caused a lot of public controversy.,People
convenience,noun,b2,"sự tiện lợi, tiện nghi",Online shopping offers great convenience for busy people.,Fashion
convenient,adjective,b1,"tiện lợi, thuận tiện",Is there a convenient store near here?,Grammar
convention,noun,b2,"hội nghị, quy ước, tập quán",The city is hosting a large medical convention next month.,General
conventional,adjective,b2,"thông thường, theo quy ước",He prefers conventional methods over experimental ones.,General
conversation,noun,a1,"cuộc trò chuyện, cuộc đối thoại",We had a long and interesting conversation about our travel plans.,Language Skills
conversion,noun,c1,"sự chuyển đổi, sự biến đổi",The conversion of the old factory into apartments took several years.,General
convert,verb,b2,"chuyển đổi, biến đổi",They plan to convert the attic into an extra bedroom.,General
convey,verb,b2,"truyền đạt, chuyển tải (thông điệp, ý nghĩa)",Please convey my apologies to your sister for missing her party.,Communication
convict,verb,c1,"kết tội, tuyên bố có tội",The jury decided to convict the defendant of the crime.,Politics & Law
conviction,noun,c1,sự kết án; niềm tin vững chắc,She spoke with deep conviction about her beliefs.,General
convince,verb,b1,thuyết phục,He tried to convince her to join the team.,Communication
convinced,adjective,b2,bị thuyết phục; tin chắc,I'm convinced that he is telling the truth.,Emotions
convincing,adjective,b2,có sức thuyết phục,The lawyer presented a very convincing argument.,Politics & Law
cook,noun,a2,đầu bếp,My mother is an excellent cook.,Cooking & Meals
cook,verb,a1,"nấu ăn, chế biến thức ăn",My mother loves to cook delicious meals for our family.,Cooking & Meals
cooker,noun,a2,"nồi cơm điện, bếp nấu (thiết bị)",We bought a new rice cooker to make cooking easier.,Home & Housing
cooking,noun,a1,"việc nấu ăn, sự nấu nướng",Cooking is one of my favorite hobbies on the weekends.,Food & Drink
cool,adjective,a1,"mát mẻ, lạnh","The weather is very cool today, perfect for a walk.",Weather & Climate
cool,verb,b1,"làm mát, làm nguội",Please wait a few minutes for the soup to cool down before eating it.,Food & Drink
cooperate,verb,c1,"hợp tác, cộng tác",The two companies decided to cooperate on the new project to achieve mutual success.,Professions
cooperative,adjective,c1,"có tính hợp tác, sẵn lòng giúp đỡ","The students were very cooperative during the group activity, sharing ideas and helping each other.",General
coordinate,verb,c1,"điều phối, phối hợp",We need to coordinate our efforts to ensure the event runs smoothly.,General
coordination,noun,c1,"sự điều phối, sự phối hợp",Good coordination among team members is essential for the success of any complex task.,Professions
coordinator,noun,c1,"người điều phối, điều phối viên",The event coordinator was responsible for managing all the logistics and schedules.,General
cop,noun,c1,cảnh sát (thông tục),The neighborhood watch reported a suspicious car to the local cop.,Politics & Law
cope,verb,b2,"đối phó, đương đầu",She found it hard to cope with the stress of her new job.,Emotions
copper,noun,c1,đồng (kim loại),Copper is an excellent conductor of electricity and heat.,Science
copy,noun,a2,"bản sao, bản chép",Please make a copy of this document for everyone in the meeting.,General
copy,verb,a2,"sao chép, bắt chước",The student tried to copy the answers from his classmate's paper.,General
copyright,noun,c1,"quyền tác giả, bản quyền",The artist holds the copyright to all of her original works.,Politics & Law
core,adjective,b2,"cốt lõi, chính yếu",Customer satisfaction is a core principle of our business.,Professions
core,noun,b2,"lõi, phần trung tâm",The Earth's core is extremely hot and dense.,Science
corner,noun,a2,góc,There's a small cafe on the corner of the street.,Environment
corporate,adjective,b2,"thuộc về công ty, doanh nghiệp",She works in corporate finance for a large international bank.,Business & Management
corporation,noun,b2,"công ty, tập đoàn",The multinational corporation announced record profits for the last quarter.,Business & Management
correct,adjective,a1,"đúng, chính xác",Your answer is absolutely correct.,Grammar
correct,verb,a1,"sửa chữa, sửa sai",Please correct any mistakes you find in the report.,Grammar
correction,noun,c1,"sự sửa chữa, sự điều chỉnh",The teacher made a few corrections to my essay.,General
correctly,adverb,a2,"một cách đúng đắn, chính xác",She spelled all the words correctly on the test.,General
correlate,verb,c1,"có mối tương quan, liên hệ với nhau",Researchers tried to correlate the amount of sleep with academic performance.,Science
correlation,noun,c1,"mối tương quan, sự liên hệ",There is a strong correlation between smoking and lung cancer.,Science
correspond,verb,c1,"tương ứng, phù hợp; trao đổi thư từ",The numbers in the report do not correspond with the actual sales figures.,Professions
correspondence,noun,c1,"sự tương ứng, sự phù hợp; thư từ",We maintain extensive correspondence with our clients overseas.,Communication
correspondent,noun,c1,"phóng viên, thông tín viên; người trao đổi thư từ",The war correspondent reported live from the conflict zone.,Media & Journalism
corresponding,adjective,c1,"tương ứng, phù hợp",The company saw a 10% increase in sales and a corresponding rise in profits.,Professions
corridor,noun,b2,hành lang,She walked down the long corridor to her office.,General
corrupt,adjective,c1,"tham nhũng, đồi bại",The politician was accused of being corrupt and accepting bribes.,Government & Politics
corruption,noun,c1,"sự tham nhũng, sự đồi bại",The new government promised to fight corruption within the public sector.,Government & Politics
cost,noun,a1,"chi phí, giá cả",The cost of living has increased significantly this year.,Personal Finance
cost,verb,a1,"tốn tiền, có giá là",This new car will cost me a lot of money.,Personal Finance
costly,adjective,c1,"đắt đỏ, tốn kém",The mistake proved to be very costly for the company.,Professions
costume,noun,b1,"trang phục, y phục (đặc biệt cho dịp lễ hội, sân khấu)",She wore a beautiful fairy costume for the Halloween party.,Fashion
cottage,noun,b1,"nhà tranh, nhà nhỏ ở nông thôn",They spent their summer vacation in a charming little cottage by the lake.,General
cotton,noun,b1,"bông, vải bông",This shirt is made from 100% organic cotton.,General
could,modal verb,a1,"có thể (quá khứ của can, hoặc khả năng, đề nghị)",I could swim when I was five years old.,Grammar
council,noun,b2,"hội đồng (cơ quan quản lý, tư vấn)",The city council voted to approve the new park project.,Government & Politics
councillor,noun,c1,ủy viên hội đồng,Each local councillor represents a specific district in the town.,Politics & Law
counselling,noun,c1,"sự tư vấn (đặc biệt về tâm lý, nghề nghiệp)",She found great help through the grief counselling sessions after her loss.,Emotions
counsellor,noun,c1,"người tư vấn (đặc biệt về tâm lý, nghề nghiệp)",The school counsellor helps students with their academic and personal problems.,General
count,noun,b1,"số lượng, sự đếm",The final count of votes was announced after midnight.,Politics & Law
count,verb,a2,đếm,Can you count how many apples are in the basket?,General
counter,noun,b2,"quầy hàng, mặt bàn",She placed her groceries on the kitchen counter.,Daily Life
counter,verb,c1,"chống lại, phản đối, đáp trả",The lawyer tried to counter the prosecution's arguments.,Politics & Law
counterpart,noun,c1,"đối tác, người đồng cấp",The foreign minister met with his counterpart from the neighboring country.,General
countless,adjective,c1,"vô số, không đếm xuể",There are countless stars visible in the night sky away from city lights.,General
country,noun,a1,"quốc gia, đất nước",France is a beautiful country with a rich history and culture.,Environment
countryside,noun,b1,"nông thôn, vùng quê",We spent the weekend cycling through the peaceful English countryside.,Travel
county,noun,b2,hạt (đơn vị hành chính),The county fair is an annual event that attracts visitors from all over the region.,Politics & Law
coup,noun,c1,cuộc đảo chính,"The military staged a coup, overthrowing the elected government.",Politics & Law
couple,noun,a2,"một cặp, đôi (hai người hoặc vật)",A couple of friends came to visit us last weekend.,Family
courage,noun,b2,"lòng dũng cảm, sự can đảm",It takes a lot of courage to speak in front of a large audience.,Emotions
course,noun,a1,khóa học; lộ trình; món ăn (trong bữa ăn),She decided to take a photography course to improve her skills.,Education
court,noun,b1,tòa án; sân (thể thao); triều đình,The suspect will appear in court next week.,Government & Politics
courtesy,noun,c1,"sự lịch sự, nhã nhặn",Showing courtesy to others is a sign of good manners.,People
cousin,noun,a1,Anh/chị/em họ,My cousin is coming to visit us next weekend.,Family
cover,noun,b1,"Bìa, vỏ bọc; sự che đậy",The book has a beautiful cover with a picture of a forest.,General
cover,verb,a2,"Che phủ, bao bọc; bao gồm",Please cover the food to keep it warm.,Action Verbs
coverage,noun,b2,Phạm vi bảo hiểm/phủ sóng; tin tức,The news coverage of the event was extensive.,Media & Journalism
covered,adjective,b1,"Được che phủ, được bao bọc",The ground was covered in a thick blanket of snow.,Environment
cow,noun,a1,con bò (cái),The cow grazed peacefully in the field.,Nature & Wildlife
crack,noun,b2,"vết nứt, khe nứt",There's a small crack in the windowpane.,Furniture & Objects
crack,verb,b2,"làm nứt, làm vỡ; giải mã",He managed to crack the code after hours of trying.,General
craft,noun,b2,nghề thủ công; kỹ năng; tàu thuyền nhỏ,"She enjoys various arts and crafts, especially pottery.",Daily Life
craft,verb,c1,chế tạo thủ công; tạo ra một cách khéo léo,The artist carefully crafted a beautiful sculpture from clay.,Visual Arts
crash,noun,b2,"vụ va chạm, tiếng đổ vỡ lớn",There was a loud crash as the old tree fell during the storm.,General
crash,verb,b2,"va chạm, đâm vào; sập (hệ thống)","The car crashed into the barrier, causing significant damage.",Sports
crawl,verb,c1,"bò, trườn",The baby learned to crawl before she could walk.,General
crazy,adjective,a2,"điên rồ, mất trí; rất thích","It was a crazy idea, but it actually worked out well.",Emotions
cream,adjective,b1,màu kem,She chose a cream-colored dress for the wedding.,Fashion
cream,noun,a1,kem (chất lỏng béo từ sữa); kem (mỹ phẩm),She put some cream in her coffee.,Food & Drink
create,verb,a1,"tạo ra, sáng tạo",Artists create beautiful works of art.,Visual Arts
creation,noun,b2,sự sáng tạo; tác phẩm,The sculpture was a beautiful creation of the artist.,Arts & Music
creative,adjective,a2,"sáng tạo, có óc sáng tạo",She is a very creative person and always has new ideas.,People
creativity,noun,b2,"sự sáng tạo, khả năng sáng tạo",Encouraging creativity in children is important for their development.,General
creator,noun,c1,"người tạo ra, đấng tạo hóa",The artist is the sole creator of this magnificent sculpture.,Arts & Music
creature,noun,b2,"sinh vật, loài vật",The deep sea is home to many strange and wonderful creatures.,Science
credibility,noun,c1,"sự tín nhiệm, sự đáng tin cậy",The scandal severely damaged the politician's credibility.,Politics & Law
credible,adjective,c1,"đáng tin cậy, có thể tin được",The witness provided a credible account of the accident.,Politics & Law
credit,noun,a2,"tín dụng, công lao, sự công nhận",She deserves full credit for the success of the project.,Professions
credit,verb,b2,"ghi nhận, công nhận (cho ai đó công lao, thành tích)",The team was credited with the success of the project.,Professions
creep,verb,c1,"bò, trườn; lén lút di chuyển",The cat crept silently towards the bird.,Travel
crew,noun,b2,"đội, nhóm (người làm việc cùng nhau, đặc biệt trên tàu, máy bay)",The airline crew prepared the plane for departure.,Travel
crime,noun,a2,"tội ác, tội phạm",Stealing is a serious crime.,Crime & Justice
criminal,adjective,b1,"thuộc về tội phạm, có tính chất tội phạm",The police are investigating the criminal activity.,Crime & Justice
criminal,noun,a2,"kẻ phạm tội, tội phạm",The police arrested the criminal after a long chase.,Crime & Justice
crisis,noun,b2,khủng hoảng,The country is facing an economic crisis.,Finance
criterion,noun,b2,"tiêu chí, chuẩn mực",What are the main criteria for selecting candidates?,Professions
critic,noun,b2,nhà phê bình,The film critic gave the new movie a glowing review.,Arts & Music
critical,adjective,b2,"quan trọng, thiết yếu; phê phán",It is critical that we find a solution to this problem quickly.,General
critically,adverb,b2,một cách nghiêm trọng; một cách phê phán,The patient was critically injured in the accident and required immediate surgery.,Health
criticism,noun,b2,sự phê bình; lời chỉ trích,The new policy received a lot of criticism from the public.,People
criticize,verb,b2,phê bình; chỉ trích,"It's easy to criticize others, but harder to offer constructive solutions.",Communication
critique,noun,c1,bài phê bình; sự phân tích đánh giá,The art student presented a detailed critique of the painting.,Arts & Music
crop,noun,b2,vụ mùa; cây trồng,Farmers are hoping for a good crop of corn this year.,Arts & Music
cross,noun,a2,cây thánh giá; dấu chữ thập,She wore a small silver cross around her neck.,General
cross,verb,a2,băng qua; đi ngang qua,Be careful when you cross the street.,Travel
crowd,noun,a2,đám đông,A large crowd gathered to watch the parade.,Family
crowded,adjective,a2,đông đúc; chật ních,The train was very crowded during rush hour.,Grammar
crown,noun,c1,vương miện,The queen wore a beautiful crown adorned with jewels.,General
crucial,adjective,b2,"Quan trọng, cốt yếu, mang tính quyết định.",It is crucial that we find a solution to this problem quickly.,General
crude,adjective,c1,"Thô, chưa tinh chế; thô lỗ, cục cằn.",The artist made a crude sketch before starting the detailed painting.,Arts & Music
cruel,adjective,b1,"Độc ác, tàn nhẫn.",It was a cruel joke that made the child cry.,Character & Personality
cruise,noun,b2,Chuyến đi biển (thường là để giải trí); hành trình trên biển.,They booked a luxury cruise to the Caribbean for their anniversary.,Travel
cruise,verb,b2,"Đi thuyền, đi tàu (thường là để giải trí); di chuyển với tốc độ ổn định.",The car was cruising smoothly down the highway.,Travel
crush,verb,c1,"nghiền nát, ép vỡ",The machine is designed to crush rocks into small pieces.,General
cry,noun,b2,"tiếng khóc, tiếng kêu",We heard a cry for help from the abandoned building.,Emotions
cry,verb,a2,"khóc, kêu la",The baby started to cry when she felt hungry.,Emotions
crystal,noun,c1,"pha lê, tinh thể",She admired the beautiful crystal vase on the shelf.,General
cue,noun,b2,"tín hiệu, gợi ý",The actor missed his cue and entered the stage late.,Arts & Music
cult,adjective,c1,"liên quan đến một nhóm người hâm mộ cuồng nhiệt hoặc một phong trào tôn giáo nhỏ, thường bị coi là kỳ lạ hoặc nguy hiểm.",The film gained a cult following years after its initial release.,Arts & Music
cult,noun,c1,"một nhóm người có niềm tin hoặc nghi lễ khác thường, thường bị coi là cực đoan hoặc nguy hiểm; một nhóm người hâm mộ cuồng nhiệt.",She joined a strange cult that isolated its members from society.,People
cultivate,verb,c1,"trồng trọt, vun trồng (cây cối); phát triển, trau dồi (kỹ năng, mối quan hệ).",Farmers cultivate the land to grow crops for food.,Arts & Music
cultural,adjective,b1,thuộc về văn hóa; liên quan đến văn hóa.,The city is known for its rich cultural heritage and diverse traditions.,People
culture,noun,a1,"văn hóa; tập quán, tín ngưỡng và cách sống của một nhóm người cụ thể.",Learning about different cultures broadens your perspective.,Society & Community
cup,noun,a1,"cốc, tách (vật đựng chất lỏng)",She poured hot tea into her favorite ceramic cup.,Objects & Tools
cupboard,noun,a2,"tủ chén, tủ ly (tủ có cửa để đựng đồ)",Please put the clean dishes back in the kitchen cupboard.,Home & Housing
cure,noun,b2,"phương pháp chữa bệnh, cách chữa trị",Scientists are still searching for a cure for the common cold.,Medical & Treatment
cure,verb,b2,"chữa khỏi, điều trị",The new medicine can effectively cure many types of infections.,Medical & Treatment
curiosity,noun,c1,"sự tò mò, tính hiếu kỳ",Her natural curiosity led her to explore many different subjects.,Emotions
curious,adjective,b2,"tò mò, hiếu kỳ",She was curious to know what was inside the mysterious box.,Feelings & States
curly,adjective,a2,xoăn (tóc),My sister has beautiful curly hair.,Emotions
currency,noun,b1,tiền tệ,The local currency in Japan is the Japanese Yen.,Personal Finance
current,adjective,b1,"hiện tại, hiện hành",What is your current address?,Time
current,noun,b2,"dòng chảy (nước, điện); luồng (không khí, ý kiến)",The strong ocean current made it difficult to swim.,Environment
currently,adverb,b1,"hiện tại, hiện nay",She is currently working on a new project.,Professions
curriculum,noun,b2,"chương trình học, giáo trình",The school is reviewing its science curriculum for next year.,General
curtain,noun,b1,"rèm cửa, màn",Please draw the curtains; it's getting too bright in here.,Home & Housing
curve,noun,b2,"đường cong, khúc cua",The car slowed down as it approached the sharp curve in the road.,General
curve,verb,b2,"uốn cong, bẻ cong",The road curves gently to the left after the bridge.,Environment
curved,adjective,b2,"cong, uốn cong","The road ahead was curved, making it difficult to see oncoming traffic.",Environment
custody,noun,c1,"sự giam giữ, quyền nuôi con","After the divorce, the parents shared joint custody of their children.",Crime & Justice
custom,noun,b1,"phong tục, tập quán",It's a local custom to take off your shoes before entering a house.,Arts & Music
customer,noun,a1,khách hàng,The customer was very satisfied with the service at the restaurant.,Business & Management
cut,noun,b1,"vết cắt, sự cắt giảm",She got a small cut on her finger while chopping vegetables.,Health
cut,verb,a1,"cắt, xén, thái",She used a knife to cut the bread into slices.,Food & Drink
cute,adjective,b2,"dễ thương, đáng yêu",The baby looked very cute in her new outfit.,Emotions
cutting,noun,c1,"sự cắt, sự xén; cành giâm",She took a rose cutting to plant in her garden.,General
cycle,noun,a2,"chu kỳ, vòng tuần hoàn; xe đạp",The water cycle is essential for life on Earth.,Science
cycle,verb,a2,"đạp xe; quay vòng, tuần hoàn",We often cycle along the river on weekends.,Sports
cynical,adjective,c1,"hoài nghi, yếm thế","He has a cynical view of politics, believing all politicians are corrupt.",Emotions
dad,noun,a1,"bố, cha",My dad always tells the best bedtime stories.,Family
daily,adjective,a2,"hàng ngày, mỗi ngày",Brushing your teeth is a daily routine.,Grammar
daily,adverb,b1,"hàng ngày, mỗi ngày",She exercises daily to stay healthy.,Health
dairy,adjective,b2,"thuộc về sữa, làm từ sữa",Many people avoid dairy products due to lactose intolerance.,Food & Drink
dairy,noun,b2,"Sản phẩm từ sữa (như sữa, bơ, phô mai).",Many people are trying to reduce their consumption of dairy products for health reasons.,Food & Drink
dam,noun,c1,Đập nước; đập ngăn sông.,The construction of the new dam will provide hydroelectric power to the region.,General
damage,noun,b1,"Sự hư hại, thiệt hại.",The storm caused significant damage to the coastal properties.,General
damage,verb,b1,"Gây hư hại, làm hỏng.",Smoking can seriously damage your health.,Health
damaging,adjective,c1,"Gây hại, có hại.",The politician's comments were seen as highly damaging to his reputation.,Politics & Law
dance,noun,a1,"điệu nhảy, vũ điệu",The couple performed a beautiful dance at the wedding.,Music & Performance
dance,verb,a1,"nhảy múa, khiêu vũ",They love to dance to pop music on weekends.,Daily Life
dancer,noun,a1,"vũ công, người nhảy múa",She is a professional ballet dancer.,Professions
dancing,noun,a1,"việc nhảy múa, khiêu vũ",Dancing is a great way to stay fit and have fun.,Health
danger,noun,a2,"sự nguy hiểm, mối hiểm nguy",The sign warned of danger ahead due to falling rocks.,Health
dangerous,adjective,a1,nguy hiểm,It is dangerous to swim in this river because of the strong currents.,Health
dare,verb,b2,"dám, thách thức",I dare you to jump into the cold lake!,General
